time	V(vout)
Step Information: Run=0  (Run: 1/65)
2.843962056528388e+000	3.299789e+000
2.843975873958773e+000	3.299798e+000
2.843994297199286e+000	3.299799e+000
2.848673800289750e+000	3.299800e+000
2.853390149861241e+000	3.299800e+000
2.862822849004223e+000	3.299801e+000
2.872588474004223e+000	3.299801e+000
2.882354099004223e+000	3.299802e+000
2.892119724004223e+000	3.299803e+000
2.901885349004223e+000	3.299803e+000
2.921416599004223e+000	3.299804e+000
2.940947849004223e+000	3.299806e+000
2.960479099004223e+000	3.299807e+000
2.989775974004223e+000	3.299808e+000
3.019072849004223e+000	3.299809e+000
3.048369724004223e+000	3.299810e+000
3.077666599004223e+000	3.299810e+000
3.106963474004223e+000	3.299811e+000
3.146025974004223e+000	3.299812e+000
3.185088474004223e+000	3.299812e+000
3.224150974004223e+000	3.299812e+000
3.263213474004223e+000	3.299811e+000
3.292510349004223e+000	3.299806e+000
3.302275974004223e+000	3.299798e+000
3.312041599004223e+000	3.299780e+000
3.313262302129223e+000	3.299774e+000
3.313567477910473e+000	3.299770e+000
3.314330417363598e+000	3.299755e+000
3.314635593144848e+000	3.299735e+000
3.315245944707348e+000	3.299610e+000
3.315398532597973e+000	3.299503e+000
3.315403300969555e+000	3.299494e+000
3.315412837712719e+000	3.299466e+000
3.315431911199047e+000	3.299392e+000
3.315436679570629e+000	3.299366e+000
3.315446216313793e+000	3.299294e+000
3.315448600499584e+000	3.299269e+000
3.315453368871166e+000	3.299189e+000
3.315462905614330e+000	3.298936e+000
3.315465289800121e+000	3.298784e+000
3.315470058171703e+000	3.298241e+000
3.315470562016517e+000	3.298124e+000
3.315471569706145e+000	3.297768e+000
3.315471821628552e+000	3.297649e+000
3.315472325473366e+000	3.297256e+000
3.315473333162994e+000	3.296073e+000
3.315473453546506e+000	3.295819e+000
3.315473694313529e+000	3.295027e+000
3.315473920050339e+000	3.293915e+000
3.315474145815191e+000	3.292057e+000
3.315474306490200e+000	3.289717e+000
3.315474437129036e+000	3.286309e+000
3.315474542284119e+000	3.281418e+000
3.315474631268214e+000	3.274056e+000
3.315474710370831e+000	3.262483e+000
3.315474785340276e+000	3.242953e+000
3.315474867079178e+000	3.206836e+000
3.315474945197891e+000	3.152267e+000
3.315475048288576e+000	3.053178e+000
3.315475159288556e+000	2.926330e+000
3.315475292595502e+000	2.761853e+000
3.315475456169859e+000	2.554905e+000
3.315475772284370e+000	2.151411e+000
3.315476404513393e+000	1.342641e+000
3.315476935698269e+000	6.655626e-001
3.315477225192395e+000	3.025325e-001
3.315477383789624e+000	1.146635e-001
3.315477463473237e+000	3.517798e-002
3.315477497195793e+000	1.322484e-002
3.315477517922985e+000	6.554401e-003
3.315477530502824e+000	4.604695e-003
3.315477546879062e+000	3.222159e-003
3.315477563472869e+000	2.370496e-003
3.315477581347248e+000	1.834511e-003
3.315477611798776e+000	1.303939e-003
3.315477639588487e+000	1.028823e-003
3.315477695167910e+000	7.428360e-004
3.315477747820563e+000	5.971346e-004
3.315477853125869e+000	4.587993e-004
3.315477973044680e+000	3.805869e-004
3.315478212882302e+000	3.128852e-004
3.315478522011726e+000	2.738024e-004
3.315479140270575e+000	2.444770e-004
3.315480376788271e+000	2.235480e-004
3.315482849823665e+000	2.109387e-004
3.315497688036024e+000	2.014695e-004
3.315517472319169e+000	2.005366e-004
3.335373081723408e+000	1.992308e-004
3.354904331723408e+000	1.978169e-004
3.374435581723408e+000	1.965427e-004
3.393966831723408e+000	1.953942e-004
3.413498081723408e+000	1.943590e-004
3.433029331723408e+000	1.934259e-004
3.452560581723408e+000	1.925849e-004
3.472091831723408e+000	1.918268e-004
3.491623081723408e+000	1.911435e-004
3.511154331723408e+000	1.905276e-004
3.530685581723408e+000	1.899727e-004
3.550216831723408e+000	1.894729e-004
3.569748081723408e+000	1.890238e-004
3.589279331723408e+000	1.886227e-004
3.608810581723408e+000	1.882704e-004
3.628341831723408e+000	1.879729e-004
3.647873081723408e+000	1.877455e-004
3.667404331723408e+000	1.876168e-004
3.686935581723408e+000	1.876367e-004
3.706466831723408e+000	1.878916e-004
3.725998081723408e+000	1.885622e-004
3.745529331723408e+000	1.900552e-004
3.765060581723408e+000	1.941066e-004
3.774826206723408e+000	2.042414e-004
3.784591831723408e+000	2.327534e-004
3.785812534848408e+000	2.464229e-004
3.786117710629658e+000	2.619111e-004
3.786728062192158e+000	3.477585e-004
3.786880650082783e+000	4.174044e-004
3.786918797055439e+000	4.583682e-004
3.786928333798604e+000	4.757839e-004
3.786947407284932e+000	5.568144e-004
3.786985554257588e+000	8.404717e-004
3.786986746350483e+000	8.595075e-004
3.786989130536274e+000	9.272924e-004
3.786993898907856e+000	1.107627e-003
3.786995091000752e+000	1.176350e-003
3.786997475186543e+000	1.367816e-003
3.786998071232991e+000	1.433697e-003
3.786999263325886e+000	1.661196e-003
3.787001647511677e+000	2.357244e-003
3.787001985539814e+000	2.541275e-003
3.787002661596088e+000	3.107676e-003
3.787002830610156e+000	3.311975e-003
3.787003168638293e+000	3.922627e-003
3.787003523178801e+000	4.862974e-003
3.787003732869085e+000	5.756090e-003
3.787003929848440e+000	7.073739e-003
3.787004065578691e+000	8.504244e-003
3.787004192119769e+000	1.065804e-002
